from,to,namespace,comment
Raleigh (disambiguation),Raleigh,0,needless disambiguation
Natasha Klauss,Natasha Klaus,0,corrected spelling
National Symphony Orchestra,National Symphony Orchestra (United States),0,There are many National Symphony Orchestras in other countries.
Medal of Honor,Congressional Medal of Honor,0,
Jim Parker (American football),Jim Parker (football player),0,
Robert Smith (football),Robert Smith (football player),0,
Mike Green (American football),Mike Green (footbal player),0,
Reed Smoot (U. S. Senator),Reed Smoot (U.S. Senator),0,
Soviet battlecruiser Kirov,Soviet cruiser Kirov,0,Following naming standard
APRA,APRA (disambiguation),0,"there are more American ""Popular Revolutionary Alliance"" links to this, better redirect it"
ÖFB Pokal,ÖFB-Cup,0,
Greg Olsen (footbal player),Greg Olsen (football player),0,correct spelling of football
"Pennsylvania Route 3015 (Dauphin County, Pennsylvania)","State Route 3015 (Dauphin County, Pennsylvania)",0,"Correcting mistake; move should've been to ""State Route 3015"" not ""Pennsylvania Route 3015"""
Romance pannonian language,Romance Pannonian language,0,Capital letter for proper noun.
Old Irish language,Old Irish,0,"Removed ""language"" per Naming conventions."
Judæo-Golpaygani language,Judæo-Golpaygani dialect,0,it's a dialect
Jack Llewelyn-Davies,Jack Llewelyn Davies,0,proper (lack of) hyphenation
Baylor Station,Baylor Hospital Station,0,
Quincy Coleman (Canadian Football League),Quincy Coleman (football player),0,
U. pumila var. arborea,Ulmus pumila var. arborea,0,Such abbreviations are inappropriate here
Hiroshi Masuoka (race car driver),Hiroshi Masuoka (rally driver),0,Fix racing genre
Lusitania(basketball),Lusitania (basketball),0,space in title
The Mystery of the Enchanted Kingdom,The Swan Princess: The Mystery of the Enchanted Kingdom,0,Official title.
Woman of the mountains,Lady of the mountain,0,More correct and more beutifully put
Living Enrichment Center,Living Enrichment Center (LEC),0,To correspond with popularly known acronym.
Star Trek (film),Star Trek XI,0,"unopposed [[WP:RM]]; primary sources call it ""Star Trek XI""."
Two Weddings and a Funeral (Popular episode),Two Weddings and a Funeral (Popular),0,
Tawfiq Al Hakeem,Tawfiq Al Hakim,0,Much more commonly used name
The Greatest Gift,The Greatest Gift Album,0,
Miami Edison Middle Schooll,Miami Edison Middle School,0,
Orthodox,Orthodox (disambiguation),0,"disambig page, this page with then redir to [[Orthodoxy]]"
Yoruba mythology,Yoruba religion,0,"Practice per [[WP:NPOV]] is to call living religions ""religions"". ""Mythology"" can be interpreted as POV"
Naming and speaking of the dead in Judaism,Honorifics in Judaism,0,better title
Marinol,Dronabinol,0,moving to non-proprietary name of drug; requested at [[WP:RM#Uncontroversial proposals]]; see also talk page.
FETRBSCollege,"Faculty Of Engineering & Technology, Raja Balwant Singh College",0,correct name
Map Of The Problematique,Map of the Problematique,0,capitalisation
Dr Vir Singh,Vir Singh,0,
Speed skating,Speed skating (disambiguation),0,move to make way for move
Warp drive,Warp drive (disambiguation),0,making way for move
Rafael Edereho,Raphael Edereho,0,
Scotus academy,Scotus Academy,0,Capitalization
Zdenek Kultak,Zdeněk Kulták,0,corrected
The Gang Stars,Gang Stars,0,No need for the.
Edward Brooker,Edward Brooker (Australian politician),0,wrong edit by new user has identified a canadian person of same name
Eulogio Amang Rodrigues Institute of Science and Technology - Cavite Campus,"EARIST, Cavite Campus",0,
Riverstone high school,Riverstone High School,0,capitalization
Ronnie creager,Ronnie Creager,0,Capitalization
Beverley Allitt,Beverly Allitt,0,Name was spelled incorrectly
Khadimpur,"Khadimpur, Balurghat",0,disambiguate location
Kinsky,House of Kinsky,0,
Riverwalk Trail,Riverwalk (Louisville),0,"I think it's just called Riverwalk, see the plaque and CJ stories both call it just Riverwalk"
San Cristóbal Ecatepec de Morelos,San Cristóbal Ecatepec,0,Actual name
Jose Reyes (disambiguation),José Reyes (disambiguation),0,
Zudeo,Vuze,0,code-name Zudeo is now renamed Vuze
Regina v. Dudley and Stephens,R. v. Dudley and Stephens,0,"revert last move. Convention is to use ""R"" for regina."
The Sky is Falling,The Sky Is Falling,0,
Asher D,Asher D (British rapper),0,To disambiguate from Asher D (Jamaican rapper)
Disco.app,Disco (software),0,"Official name according to website is without "".app"". Additing standard wikipedia modifier"
WMTU,WMTU-FM,0,"Per FCC database, these are the official calls."
Substituted Amphetamines,Substituted amphetamines,0,as per [[Wikipedia:Naming conventions]]
Follow Me Television,Follow Me TV,0,
New Force,New Force (Italy),0,
Eisack-Isarco,Eisack,0,[[WP:RM]]
Dead To Me,Dead to Me (band),0,capitalization
Cancer cell,Cancer Cell,0,correct capitalization (see http://www.cancercell.org)
Donald Foster (disambiguation),Donald Foster,0,[[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages]]
Fibularis brevis,Peroneus brevis,0,This is the overwhelmingly more common name
Islamic terrorism and Australia,Terrorism in Australia,0,removed religious title irrelevant
Rhythm And Booze,Rhythm and Booze,0,my typo this time
Shame (Evelyn King),Shame (Evelyn King song),0,"Shame is an Evelyn King song, not an Evelyn King."
Animal Crackers (television series),Animal Crackers (TV series),0,moving more substatial article to correct title; requested at [[WP:RM#Uncontroversial proposals]]
"St. Paul's School (Brooklandville, MD)","St. Paul's School (Brooklandville, Maryland)",0,Correct title
Surviving (movie),Surviving (film),0,per WP:FILM naming guidelines
Magnolia league,Magnolia League,0,capitalization
Mindscape Group,Mindscape (software publisher),0,
Jamie Peacock (rugby player),Jamie Peacock (rugby league footballer),0,norm.
Bad Influence (TV series),Bad Influence!,0,Correct title
Umba (town),"Umba, Russia",0,not a town; dab by country to distinguish from one in Papua New Guinea
Diamond jim,Diamond Jim,0,"proper capitalization
"
Salafist Group for Preaching and Combat,Al-Qaeda group in the Maghreb,0,they changed it
Le Cygne (classical composition),Le Cygne (Saint-Saëns),0,nomenclature
FML (disambiguation),FML,0,Move over base name.  No need for a disambig name when base is availible.
Institute of Design IIT,IIT Institute of Design,0,
Užice speech,Užican speech,0,
New Deal for Communites,New Deal for Communities,0,Misspelling of 'communities' in article title
Leonid Brezhnev (disambiguation),Brezhnev (disambiguation),0,
South East Dorset conurbation,Bournemouth Urban Area,0,"official name, please see [http://www.statistics.gov.uk/StatBase/Expodata/Spreadsheets/D8271.xls] line 2092 for info"
Shabazz The Disciple,Shabazz the Disciple,0,caps; [[WP:RM]]
Susan Powell (Weather forecater),Susan Powell (Weather forecaster),0,Corrected
Dejerine Sottas Syndrome,Dejerine Sottas syndrome,0,caps
Hipster (1940s subculture),Hipster,0,Bring history from [[Hipster]] here so the dab history can live there
Azeris in Iran,Iranian Azeris,0,"see my comment on talk page, this is the more appropriate and more common term"
Spinal tap,Spinal Tap (disambiguation),0,
Dan Hess (Composer),Dan Hess (composer),0,
Microsoft WinHelp,Windows Help,0,Official name.
Ira (disambiguation),Ira,0,[[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages]]
Johnny Yuma (C.O.P.S.),Johnny Yuma,0,Combine history after cut/paste move
HK 51,Heckler & Koch HK 51,0,Standardize with proper name
Peter Gutmann,Peter Gutmann (computer scientist),0,convert to disambiguation page
John Seigenthaler DID NOT KILL ANYONE,John Seigenthaler,0,vandalism
List of All Blacks (sports team),List of players on the All Blacks rugby team,0,
Airwaves,Airwave,0,primary topic disambig
Tom Hancock (US Senator),Tom Hancock,0,"revert move, inaccurate title"
The Birger Sandzén Memorial Gallery,Birger Sandzén Memorial Gallery,0,
Aviastar,Aviastar-SP,0,Aviastar-SP is the correct name of the company.
Dr.Naseem Ashraf,Naseem Ashraf,0,
Fire observation Tower Rennbeck,Rennbeck fire tower,0,Simplified English rendering of German title
Galactik Football - Episode List,List of Galactik Football episodes,0,Correct title in line with naming convention
Boh3m3,Ben Going,0,To keep page in line with those of other YouTube celebrities and as an anticipatory measure before Going finds fame outside of YouTube
Sistine Madonna (Raphael),Sistine Madonna,0,No need for disambiguation with artist's name
Sami Parliament,Sami Parliaments,0,Article describes three Sami Parliaments
Cachalot Council,Cachalot District,0,[[WP:RM]]
Angus Reid (football player),Angus Reid (CFL football player),0,less ambiguous
Goga Sekulic,Goga Sekulić,0,"last name has a ""ć"" ending, not a ""c"" ending"
System under test,System Under Test,0,Capitalization
Mary Johnston,Mary Johnston (novelist),0,There are others of this name
Kiss you off,Kiss You Off,0,
New Democratic Party Shadow Cabinet,New Democratic Party Shadow Cabinet of the 39th Parliament of Canada,0,This way it can be a historical record.  We can make new articles for new Parliaments.
Italo-Brazilian,Italo Brazilian,0,
Don Bishop (American football),Don Bishop (football player),0,
Veterinary Pharmacist,Veterinary pharmacist,0,Spelling
Sadeq Faris,Sadeg Faris,0,correct a spelling mistake
We've Got Tonight - Spectrum,We've Got Tonight (Spectrum),0,
Lyndon B. Johnson Space Center shooting,NASA hostage crisis,0,it wasn't a spree shooting thing... more like a hostage thing
Give It A Name,Give it a Name,0,changed it to Give it a Name.
"Mecklenburg-Western Pomerania state election, 2006","Mecklenburg-Vorpommern state election, 2006",0,
Naked (disambiguation),Naked,0,[[Wikipedia:WikiProject Disambiguation/Malplaced disambiguation pages]]
Wrap rage,Packages being hard to open,0,
Roseanne,Roseanne (actress),0,Combine more history
Sir James Douglas,James Douglas (soldier),0,To conform with WP style guidelines ([[Wikipedia:Naming conventions (names and titles)#Other non-royal names]])
Retrospect (dismbiguation),Retrospect (disambiguation),0,Misspelling
United States Navy THIRD Fleet,United States Navy Third Fleet,0,
Elemental spirits (Seiken Densetsu),Elemental spirits (Mana),0,Keeping in form with [[Seiken Densetsu]] move to [[Mana (Game series)]]
Kurtis Stryker,Stryker (Mortal Kombat),0,Following discussion at [[Wikipedia talk:WikiProject Mortal Kombat#Page moves|WP:MK]]
Mohamed Amine Dennoun,Mohamed Dennoun,0,
Baron Blood,Baron Blood (comics),0,disambig from film of same name
Gay rights in Lithuania,LGBT rights in Lithuania,0,per [[WP:LGBT]] discussion
Kitaro,Kitarō,0,"If you’re using macrons, the name requires a macron."
John Bentley (rugby player),John Bentley (rugby footballer),0,norm.
DCR-VX1000,Sony DCR-VX1000,0,The title was missing the manufacturer's name.
Social cycle theory,Sociological cycle theory,0,The name Social Cycle Theory belongs to the ideas of P. R. Sarkar. A heading will shortly be created to reflect those ideas. Further information in associated talk page.
Fajlflajf,Hell,0,revert
Break open,Break-action,0,"Moved in line with more common usage, notice of move on talk page for 6 weeks with no objections."
Roma people,Romani people,0,this is the correct grammatical form
National Scenic Area,National Scenic Area (disambiguation),0,make way for move of primary topic to simple title
"BEPZA, Bataan",Bataan Export Processing Zone,1,"de-acronymized ""BEPZA"""
Ravindran.k.,K. Ravindran,0,corrected name order and capitalisation
Chicago Bears starting quarterbacks,List of Chicago Bears starting quarterbacks,0,
"AIGA, The Professional Association for Design","AIGA, the professional association for design",0,capitalization to correlate with organizations website usage
List of nikita episodes,List of Nikita episodes,0,proper noun
SHANADOO,Shanadoo,0,
Ashley Grimes,Ashley Grimes (footballer born 1957),0,
Konstantin Vasiliev,Konstantin Vasilyev,0,[[WP:RUS]]
Engineering Society of Queen’s University,Queen’s Engineering Society,0,This appears to be the naming convention for Queen's University pages.
David Viscomi,Fat,0,"Moved back to Fat, reverting vandalism by [[User:Gogreen11]]"
The Poet and the Pendulum (song),The Poet and the Pendulum,0,
The Sandlot 3,The Sandlot: Heading Home,0,"Was under the working title name ''The Sandlot 3'', but the final, correct name of the film is ''The Sandlot: Heading Home''."
Gareth mitchell,Gareth Mitchell,0,capitalization
Forest of Secrets,Forest of Secrets (Warriors),0,All the other books have it.
Annulus fibrosus,Annulus fibrosus disci intervertebralis,0,annulus fibrosus alone can refer to heart
"Maryburgh, Highland",Maryburgh,0,primary topic; no other articles to disambiguate
Harvey & Son (Lewes) Ltd,Harveys (brewery),0,"As per talk. It's known as Harveys, not by its formal company name."
Pablo Gómez Alvarez,Pablo Gómez Álvarez,0,
US Campaign for Burma,U.S. Campaign for Burma,0,including periods as per website
John Griffin (boxer),John 'Corn' Griffin,0,
Santhome Church,Santhome Basilica,0,official name http://www.santhomebasilica.com/
Cello Concerto No. 2 in D (Haydn),Cello Concerto No. 2(Haydn),0,"How many other composers' second concerto was in D Major? Even if they were, they are denoted by the composer's name"
2007 North Indian cyclone season,2007 North Indian Ocean cyclone season,0,consistency with other recently-created or split season articles
Madriu-Claror-Perafita Valley,Madriu-Perafita-Claror Valley,0,
Transcriptions of the Tetragrammaton,Tetragrammaton,0,restore after a unilateral copy-and-paste fork
